Closed,construction without a permit,3618 A Cooks Hill Rd,,3/8/2021
Closed,construction without a permit,509 South St,,2/25/2021
Open,construction without a permit,827 N Pearl,,2/4/2021
Closed,construction without a permit,301 N Diamond,,2/9/2021
Closed,construction without a permit,512 S Iron St,,3/3/2021
Closed,construction without a permit,1502 View Ave ,,3/3/2021
Closed,construction without a permit,1536 Grand Ave,,3/4/2021
Closed,construction without a permit,405 N Tower ,,2/17/2021
Closed,construction without a permit,2104 N Pearl,,1/28/2021
Closed,construction without a permit,1215 H St,,1/13/2021
Closed,construction without a permit,1728 Harrison Ave,,1/5/2021
Closed,construction without a permit,712 K St,,1/5/2021
Closed,construction without a permit,601 K ST,,1/5/2021
Closed,construction without a permit,1501 S Gold,,1/19/2021
Closed,construction without a permit,1501 S Gold,,1/19/2021
Closed,construction without a permit,901 Alder St,,1/19/2021
Closed,construction without a permit,405 N IRON STREET,,1/15/2021
Closed,construction without a permit,1217 N Washington Ave,,1/12/2021
Closed,construction without a permit,805 S Gold St,,1/13/2021
Closed,construction without a permit,1224 N Washington Ave,,1/12/2021
Closed,construction without a permit,806 Centralia College Blvd,,1/8/2021
Closed,construction without a permit,1420 View Ave ,,12/15/2020
Closed,construction without a permit,104 S Green St,,12/15/2020
Closed,construction without a permit,3711 Mayberry Rd,,12/15/2020
Closed,construction without a permit,1219 Alexander St,,12/15/2020
Closed,construction without a permit,829 S Silver St ,,12/15/2020
Closed,construction without a permit,1006 W Cherry St,,12/15/2020
Closed,construction without a permit,1202 W Pear St ,,12/15/2020
Closed,construction without a permit,501 E Pear St,,12/15/2020
Closed,construction without a permit,1220 Delaware Ave,,12/15/2020
Closed,construction without a permit,1423 Jensen Ave,,12/15/2020
Closed,construction without a permit,401 S Oak St,,12/15/2020
Closed,construction without a permit,1713 N Pearl,,12/15/2020
Closed,construction without a permit,1102 Cobra Lane,,12/15/2020
Closed,construction without a permit,1616 S Gold,,12/15/2020
Closed,construction without a permit,1909 S Gold St,,12/17/2020
Open,construction without a permit,0 Coffee Creek Dr,,12/9/2020
Closed,construction without a permit,1227 Alexander,,12/16/2020
Closed,construction without a permit,2202 Taylor St,,5/18/2020
Closed,construction without a permit,304 M St,,12/10/2020
Closed,construction without a permit,522 S Gold,,12/9/2020
Open,construction without a permit,1003 E St,,12/3/2020
Open,construction without a permit,308 Riverhieghts ,,12/3/2020
Closed,construction without a permit,421 S Gold St.,,12/3/2020
Closed,construction without a permit,605 Bengal Court,,12/3/2020
Closed,construction without a permit,927 Marion Street,,12/1/2020
Closed,construction without a permit,212 M St,,11/17/2020
Closed,construction without a permit,2299 Harrison Ave,,10/28/2020
Open,construction without a permit,Construction without permit,,11/12/2020
Closed,construction without a permit,411 W Plum St,,11/12/2020
Closed,construction without a permit,1745 Taylor st,,11/12/2020
Open,construction without a permit,,,
Open,construction without a permit,210 N Oak Street,,10/27/2020
Closed,construction without a permit,143 June Ln,,10/28/2020
Closed,construction without a permit,628 N Tower Ave,,10/27/2020
Closed,construction without a permit,710 S Silver St,,10/22/2020
Closed,construction without a permit,224 S Diamond St,,10/21/2020
Closed,construction without a permit,1515 Lum Rd ,,10/21/2020
Closed,construction without a permit,915 N Pearl St ,,10/20/2020
Closed,construction without a permit,1016 N Tower,,10/20/2020
Closed,construction without a permit,219 Tilley Ave,,10/19/2020
Closed,construction without a permit,2401 Cooks Hill Rd,,10/15/2020
Closed,construction without a permit,1509 N Pearl ,,10/13/2020
Closed,construction without a permit,100 Fremont Ave ,,10/13/2020
Closed,construction without a permit,1914 Ahlers Rd,,10/13/2020
Closed,construction without a permit,201 N Ash St,,5/28/2020
Closed,construction without a permit,1112 Long Rd. #35,,10/9/2020
Closed,construction without a permit,1112 Long Rd. #17,,10/9/2020
Closed,construction without a permit,1112 Long Rd. #9 ,,10/9/2020
Open,construction without a permit,4001 Mayberry Rd,,10/7/2020
Closed,construction without a permit,1014 N Tower,,10/8/2020
Closed,construction without a permit,615 S King St,,10/6/2020
Closed,construction without a permit,2115 N Pearl,,10/5/2020
Closed,construction without a permit,503 S Ash St,,7/25/2019
Open,construction without a permit,1426 Windsor Ave,,9/25/2020
Closed,construction without a permit,1708 Kresky Ave,,9/29/2020
Closed,construction without a permit,1101 W 3rd St,,10/1/2020
Closed,construction without a permit,1101 W 3rd St,,10/1/2020
Open,construction without a permit,1610 Windsor St Spc 22,,
Closed,construction without a permit,1019 Yakima Street,,9/22/2020
Closed,construction without a permit,825 F St ,,9/21/2020
Closed,construction without a permit,704 Ham Hill Rd,,9/21/2020
Closed,construction without a permit,730 W Reynolds Ave ,,9/19/2020
Closed,construction without a permit,720 W Reynolds Ave ,,9/19/2020
Closed,construction without a permit, 1315 1/2 Alexander St,,9/18/2020
Closed,construction without a permit,1317 S. Scheuber,,9/15/2020
Closed,construction without a permit,616 S Rock,,9/15/2020
Open,construction without a permit,109 N King Street,,9/14/2020
Closed,construction without a permit,125 N Cedar ,,9/10/2020
Closed,construction without a permit,917 N Tower,,9/10/2020
Closed,construction without a permit,1117 Centralia College Blvd,,9/10/2020
Closed,construction without a permit,1406 Central Blvd,,9/9/2020
Closed,construction without a permit,1318 Crescent,,9/9/2020
Closed,construction without a permit,320 E Main ,,9/9/2020
Closed,construction without a permit,620 M St,,9/3/2020
Closed,construction without a permit,209 Yew St,,9/3/2020
Closed,construction without a permit,1115 N Washington Ave,,9/1/2020
Closed,construction without a permit,"702 A Ash St , Centralia  702 B Ash St , Centralia ",,8/31/2020
Closed,construction without a permit,416 S Washington,,8/31/2020
Closed,construction without a permit,614 Marion St,,8/21/2020
Closed,construction without a permit,712 S Gold St ,,8/20/2020
Closed,construction without a permit,501 E Magnolia ,,8/20/2020
Closed,construction without a permit,2425 Seward,,8/10/2020
Closed,construction without a permit,511 Yew St ,,8/14/2020
Closed,construction without a permit,1008 W CHESTNUT ST,,8/12/2020
Closed,construction without a permit,1106 Fieldcrest Avenue,,8/13/2020
Closed,construction without a permit,402 E Main St,,8/4/2020
Closed,construction without a permit,1116 W Pear St ,,8/4/2020
Closed,construction without a permit,314 N Gold St,,8/6/2020
Closed,construction without a permit,2702 N Pearl St,,8/6/2020
Closed,construction without a permit,1001 Woodland Ave,,7/31/2020
Closed,construction without a permit,1518 S. Gold St,,7/27/2020
Closed,construction without a permit,1008 Centralia College Blvd,,7/24/2020
Closed,construction without a permit,813 G St,,7/21/2020
Closed,construction without a permit,1020 W 1st St,,7/17/2020
Closed,construction without a permit,1503 N Pearl,,7/1/2020
Closed,construction without a permit,827 S Tower,,7/15/2020
Closed,construction without a permit,1311 W Reynolds Avenue,,7/8/2020
Closed,construction without a permit,123 N Cedar St ,,7/7/2020
Closed,construction without a permit,214 N Diamond St,,7/2/2020
Closed,construction without a permit,408 S Diamond ,,7/2/2020
Closed,construction without a permit,0 Belmont,,7/1/2020
Closed,construction without a permit,328 Noel,,6/26/2020
Closed,construction without a permit,701 H St,,6/25/2020
Closed,construction without a permit,1726 Ham Hill Rd ,,6/24/2020
Closed,construction without a permit,205 Robert Thompson Rd,,6/23/2020
Closed,construction without a permit,710 S Silver St,,6/16/2020
Closed,construction without a permit,928 F St,,6/22/2020
Closed,construction without a permit,1102 Eshom Rd,,6/19/2020
Closed,construction without a permit,3606 Mayberry Rd ,,6/19/2020
