"240 S ALFRED AVE, ELGIN 14097",In Progress,,,,8/27/2020,305.1 - INTERIOR STRUCTURE; GENERAL,NSV20-011231,240,ALFRED,AVE,ELGIN,14097
"240 S ALFRED AVE, ELGIN 14097",In Progress,,,,8/27/2020,403.5 - CLOTHES DRYER EXHAUST,NSV20-011232,240,ALFRED,AVE,ELGIN,14097
"240 S ALFRED AVE, ELGIN 14097",In Progress,,,,8/27/2020,601.2 - MECHANICAL & ELECTRICAL REQUIREMENTS; RESPONSIBILITY,NSV20-011229,240,ALFRED,AVE,ELGIN,14097
"240 S ALFRED AVE, ELGIN 14097",In Progress,,,,8/27/2020,604.3 - ELECTRICAL SYSTEM HAZARDS,NSV20-011230,240,ALFRED,AVE,ELGIN,14097
"240 S ALFRED AVE, ELGIN 14097",In Progress,,,,8/27/2020,704.2 - SMOKE ALARMS,NSV20-011233,240,ALFRED,AVE,ELGIN,14097
"241 DUNDEE AVE, ELGIN 39535",In Progress,,,,2/24/2020,19.50.080 - WALL & INTEGRAL ROOF GRAPHICS,NSV20-004877,241,DUNDEE,AVE,ELGIN,39535
"241 N MELROSE AVE, ELGIN 18555",In Progress,,,,12/15/2020,302.10 - RESIDENTIAL STORAGE,NSV20-016638,241,MELROSE,AVE,ELGIN,18555
"241 N MELROSE AVE, ELGIN 18555",In Progress,,,,12/15/2020,302.17 - DEAD OR DECAYING PLANTS,NSV20-016645,241,MELROSE,AVE,ELGIN,18555
"241 N MELROSE AVE, ELGIN 18555",In Progress,,,,12/15/2020,304.1 - EXTERIOR STRUCTURE; GENERAL,NSV20-016639,241,MELROSE,AVE,ELGIN,18555
"241 N MELROSE AVE, ELGIN 18555",In Progress,,,,12/15/2020,304.1 - EXTERIOR STRUCTURE; GENERAL,NSV20-016640,241,MELROSE,AVE,ELGIN,18555
"241 N MELROSE AVE, ELGIN 18555",In Progress,,,,12/15/2020,304.2 - PROTECTIVE TREATMENT,NSV20-016641,241,MELROSE,AVE,ELGIN,18555
"248 MICHIGAN ST, ELGIN 9508",In Progress,,,,10/29/2020,20.08.010 - HISTORIC DISTRICT NOTICE,NSV20-015205,248,MICHIGAN,ST,ELGIN,9508
"248 MICHIGAN ST, ELGIN 9508",In Progress,,,,10/29/2020,304.13.3 - EXTERIOR WINDOW COVERING,NSV20-015200,248,MICHIGAN,ST,ELGIN,9508
"248 MICHIGAN ST, ELGIN 9508",In Progress,,,,10/29/2020,304.2 - PROTECTIVE TREATMENT,NSV20-015202,248,MICHIGAN,ST,ELGIN,9508
"248 MICHIGAN ST, ELGIN 9508",In Progress,,,,10/29/2020,304.7 - ROOFS AND DRAINAGE,NSV20-015198,248,MICHIGAN,ST,ELGIN,9508
"248 MICHIGAN ST, ELGIN 9508",In Progress,,,,10/29/2020,304.8 - DECORATIVE FEATURES,NSV20-015199,248,MICHIGAN,ST,ELGIN,9508
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,304.7 - ROOFS AND DRAINAGE,NSV20-011599,251,DOUGLAS,AVE,ELGIN,19923
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,504.1 - PLUMBING & FIXTURES; GENERAL,NSV20-011601,251,DOUGLAS,AVE,ELGIN,19923
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,504.3 - PLUMBING SYSTEM HAZARDS,NSV20-011600,251,DOUGLAS,AVE,ELGIN,19923
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,6.37.100 - OWNER RESPONSIBILITY,NSV20-011595,251,DOUGLAS,AVE,ELGIN,19923
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,604.3 - ELECTRICAL SYSTEM HAZARDS,NSV20-011602,251,DOUGLAS,AVE,ELGIN,19923
"251 DOUGLAS AVE, ELGIN 19923",In Progress,,,,8/31/2020,,NSV20-011593,251,DOUGLAS,AVE,ELGIN,19923
"251 BARTLETT PL, ELGIN 9565",In Progress,,,,8/5/2020,302.7 - ACCESSORY STRUCTURES,NSV20-010189,251,BARTLETT,PL,ELGIN,9565
"251 BARTLETT PL, ELGIN 9565",In Progress,,,,8/5/2020,302.7 - ACCESSORY STRUCTURES,NSV20-010194,251,BARTLETT,PL,ELGIN,9565
"251 BARTLETT PL, ELGIN 9565",In Progress,,,,8/5/2020,"304.13 - WINDOW, SKYLIGHT & DOOR FRAMES",NSV20-010192,251,BARTLETT,PL,ELGIN,9565
