Nuisance,20210013652,Open,1101 ROCKY RIDGE DR CHARLOTTE NC 28217,16916607,212,Complaint,Council District 3,John Jones,Tagged for abandoned ,3/23/2021,
Nuisance,20210013754,Open,6100 SOUTH BV CHARLOTTE NC 28217,17302101,383,Field Observation,Council District 3,Jason Haynes,Neglect of premises violation ,3/23/2021,
Nuisance,20210013746,Open,"6418 SOUTH BV CHARLOTTE, NC 28217",17304201,383,Field Observation,Council District 3,Jason Haynes,Sign pulled. Picture shown for reference ,3/23/2021,
Nuisance,20210013510,Open,7600 COVEY CHASE DR CHARLOTTE NC 28210,17330122,19,Field Observation,Council District 6,Jason Haynes,Yard waste at the curb too soon ,3/22/2021,
Nuisance,20210013512,Open,2118 WITTSTOCK DR CHARLOTTE NC 28210,17330123,19,Field Observation,Council District 6,Jason Haynes,Yard waste at the curb too soon ,3/22/2021,
Nuisance,20210013513,Open,2219 WITTSTOCK DR CHARLOTTE NC 28210,17330133,19,Field Observation,Council District 6,Jason Haynes,Yard waste at the curb too soon ,3/22/2021,
Nuisance,20210013516,Open,2419 HOPECREST DR CHARLOTTE NC 28210,17330161,19,Field Observation,Council District 6,Jason Haynes,Yard waste too soon,3/22/2021,
Nuisance,20210013507,Open,7901 COVEY CHASE DR CHARLOTTE NC 28210,17330214,19,Field Observation,Council District 6,Jason Haynes,Yard waste at the curb too soon,3/22/2021,
Nuisance,20210013785,Open,5907 BLUEBONNET RD CHARLOTTE NC 28212,18901327,99,Field Observation,Council District 5,Tony Wilkins,Observed parking on lawn violation. Took pictures. Left warning on vehicle.,3/23/2021,
Nuisance,20210014415,Open,201 REGENCY DR CHARLOTTE NC 28211,18914331,15,Field Observation,Council District 6,Tony Wilkins,Observed curbside violation. Checked Emerald for missed pickup. Took picture. Sending NOV. Left blue door hanger.,3/25/2021,
Nuisance,20210014393,Open,227 REGENCY DR CHARLOTTE NC 28211,18914336,15,Field Observation,Council District 6,Tony Wilkins,Observed curbside violation. Checked Emerald for missed pickup. Took picture. Sending NOV. Left blue door hanger.,3/25/2021,
Nuisance,20210014423,Open,6227 THERMAL RD CHARLOTTE NC 28211,18924227,23,Field Observation,Council District 6,Tony Wilkins,Observed curbside violation. Checked Emerald for missed pickup. Took picture. Sending NOV. Left blue door hanger.,3/25/2021,
Nuisance,20210014421,Open,6825 MORGANFORD RD CHARLOTTE NC 28211,18931224,15,Field Observation,Council District 6,Tony Wilkins,Observed curbside violation. Checked Emerald for missed pickup. Took picture. Sending NOV. Left blue door hanger.,3/25/2021,
Nuisance,20210014420,Open,6833 MORGANFORD RD CHARLOTTE NC 28211,18931225,15,Field Observation,Council District 6,Tony Wilkins,Observed curbside violation. Checked Emerald for missed pickup. Took picture. Sending NOV. Left blue door hanger.,3/25/2021,
Nuisance,20210014246,Open,1006 PINEBOROUGH RD CHARLOTTE NC 28212,19103537,245,Field Observation,Council District 5,Tony Wilkins,Observed parking on the lawn violation. Took pictures. Left warning on vehicle.,3/24/2021,
Nuisance,20210014208,Open,1626 VILLAGE LAKE DR CHARLOTTE NC 28212,19107121,248,Field Observation,Council District 6,Tony Wilkins,Observed bulky and curbside violation. Checked Emerald. Book case and padding was not scheduled for pickup. Inspector scheduled pickup for 3/30/21. Took picture. Sending NOV. Left blue door hanger.,3/24/2021,
