436,CHALFONT ST,6/1/2017,O-994480,Violations Found,,2003 IPMC 301.3 Vacant structures and land :: 2003 IPMC 108.2 Closing of vacant structures,VACANT STRUCTURE :: REAR OF STRUCTURE,"301.3 Vacant structures and land.  All vacant structures and premises shall be maintained in a clean, safe, secure and sanitary condition. :: 108.2 Closing of vacant structures. If the structure is vacant and unfit for human occupancy, not in danger of collapse, or is an attractive nuisance, premise must be closed and secure. BOARD UP REAR.",0014J00263000000,Beltzhoover,3,18,562400,4,18,3,21-Apr,-79.99885021,40.41646219
2408,EDGAR ST,6/1/2017,O-962627,Abated,,2003 IPMC 302.7 Accessory structures,Rear retaining wall is no longer stable,"All detached garages, fences and walls shall be maintained structurally sound and in good repairGarages, fences over 6 foot and retaining walls 4 foot and higher must obtain permit. Repair wall",0095S00090000000,Carrick,4,29,290400,4,29,3,23-Apr,-79.98344028,40.38605058
620,SUISMON ST,6/1/2017,O-1014133,Abated,,2003 IPMC 304.3 Premises identification,Premise ID required above door for property 220.,"304.3 Premise ID, buildings shall have approved address numbers placed in a position to be legible from the street or road fronting the property.",0024J00063000000,East Allegheny,1,23,563200,1,23,1,6-Jan,-79.99892184,40.45570058
5552,BLACK ST,6/1/2017,O-1000823,Abated,,2003 IPMC 307.1 Accumulation of rubbish or garbage,debris on property,"debris on side & litter in rear needs to cleaned & removed from property,rubbish / garbage needs to be cans with lids at all times",0083F00045000000,Garfield,9,11,111400,2,11,5,4-Mar,-79.92850854,40.46883338
320,ATWOOD ST,6/1/2017,O-1015609,Abated,,2003 IFC 107.2.1 Test and inspection records :: 2003 IFC 1011.2 Illumination :: 2003 IFC 904.11.6.3 Cleaning,BANGAL KABAS 320 ATWOOD ST :: BANGAL KABAS 320 ATWOOD ST :: BANGAL KABAS 320 ATWOOD ST,Failure to maintain annual inspection of ansul system.Action Required: Provide current third party ansul system inspection report :: Failure to maintain working emergency lighting.Action Required: Repair or replace all affected emergency lighting in place. :: Failure to maintain annual cleaning off hood system and duct work. Action Required: Provide documentation of current cleaning of hood and duct work from third party company.,0028G00170000000,Central Oakland,3,4,40500,3,4,4,14-Feb,-79.955466,40.43903953
2335,ALMONT ST,6/1/2017,O-953524,Abated,,2003 IPMC 307.1 Accumulation of rubbish or garbage :: 2003 IPMC 304.7 Roofs and drainage :: 2003 IPMC 304.2 Protective treatment :: 2003 IPMC 304.6 Exterior walls,Wood panels in laying through front yard :: Gutters and Downspouts :: Exterior wood deteriorating :: Exterior walls deteriorating and has holes,"Accumulation of Rubbish or Garbage Property must be clean of all Rubbish or Garbage Remove wood from the front yard :: Roofs and Drainage Roof water shall not discharge in a manner that creates a public nuisance Repair gutters and downspouts :: Exterior wood surfaces, other than decay-resistant woods, shall be protected from the elements and decay by painting or other protective covering or treatment. :: All exterior walls shall be free from holes, breaks, and loose or rotting materials; and maintained weatherproof and properly surface coated where required to prevent deterioration.",0095R00382000000,Carrick,4,29,290400,4,29,3,23-Apr,-79.98722875,40.38676608
7618,MULFORD ST,6/1/2017,O-1001915,Violations Found,,2003 IPMC 302.4 Weeds :: 2003 IPMC 307.1 Accumulation of rubbish or garbage :: 2003 IPMC 302.7 Accessory structures,overgrowth thru-out property :: rubbish scattered thru-out property :: garage in desrepair,preises must be free of overgrowth and grass over 10 inches :: premises must be fr4ee of rubbish and garbage :: garages must be maintained in a sound manner,0175C00041000000,Homewood South,9,13,130400,2,13,5,17-Mar,-79.89069236,40.45225548
110,KENNEDY AVE,6/1/2017,O-1021023,Abated,,2003 IPMC 302.4 Weeds :: 2003 IPMC 301.3 Vacant structures and land,302.4  vacant lot overgrown :: 301.3  vacant lot overgrown,all overgrown weeds/grass must be cut and removed :: all overgrown property/land must be properly cut and cleaned,0077P00048000000,Perry South,1,26,261500,1,26,1,23-Jan,-80.00865814,40.47455536
1516,CHATEAU ST,6/1/2017,O-989979,Violations Found,,2003 IPMC 108.1.1 Unsafe Structure :: 2003 IPMC 108.1.1 Unsafe Structure,"108.1.1 An unsafe structure is one that is found to be dangerous to the life, health, property or safety of the public or the occupants of the structu :: This Structure is condemned and must be made safe. condemned on 3-24-2010",Must obtain building permit to remove violations. :: Must obtain building permit to remove violations.,0022K00398000000,Manchester,6,21,210700,1,21,1,8-Jan,-80.02836534,40.4552128
1721,COLWELL ST,6/1/2017,O-996326,Abated,,"2003 IPMC 304.10 Stairways, decks, porches and balconies :: 2003 IPMC 304.12 Handrails and guards :: 2003 IPMC 304.13 Window, skylight and door frames :: 2003 IPMC 302.4 Weeds :: 2003 IPMC 108.2 Closing of vacant structures",FRONT OF STRUCTURE :: FRONT OF STRUCTURE :: SIDE OF STRUCTURE :: REAR OF PROPERTY :: THROUGHOUT STRUCTURE,"EXTERIOR STEPS AND PORCH CRUMBLED.  ALL EXTERIOR STEPS AND PORCHES SHALL BE MAINTAINED STRUCTURALLY SOUND, IN GOOD REPAIR, WITH PROPER ANCHORAGE AND CAPABLE OF SUPPORTING THE IMPOSED LOADS. :: NO HANDRAIL OR GUARD.  ALL EXTERIOR STEPS WITH MORE THAN 4 RISERS SHALL HAVE A HANDRAIL FIRMLY FASTENED AND IN GOOD REPAIR.  GUARDS SHALL BE PROVIDED ON WALKING SURFACES 30 INCHES ABOVE LANDING. :: BROKEN WINDOW.  EVERY WINDOW, SKYLIGHT, DOOR AND FRAME SHALL BE KEPT IN SOUND CONDITION, GOOD REPAIR, AND WEATHERTIGHT. :: OVERGROWN WEEDS.  ALL PRMISES AQND EXTERIOR PROPERTY SHALL BE MAINTAINED FREE FROM OVERGROWN WEEDS AND PLANTATION. :: OPEN VACANT STRUCTURE.  ALL VACANT STRUCTURE SHALL BE PROPERLY CLOSED (BOARDED) UP.",0011E00297000000,Crawford-Roberts,6,3,30500,3,3,2,1-Feb,-79.98125835,40.43919718
