1/22/2021,INV21-01296,"3714 E WASHINGTON ST, INDIANAPOLIS IN 46201",721 SUNGLOW CIR,", INDIANAPOLIS IN 46201",Investigation - Unsafe Buildings,Closed
1/23/2021,INV21-01374,"3714 E WASHINGTON ST, INDIANAPOLIS IN 46201",7211 E 65TH ST,", INDIANAPOLIS IN 46201",Investigation - Unsafe Buildings,Closed
3/8/2021,INV21-03848,"3715 DUBARRY RD, INDIANAPOLIS IN 46226",7219 WELLWOOD DR,", INDIANAPOLIS IN 46226",Investigation-Zoning,"Closed, VIO"
3/8/2021,VIO21-001807,"3715 DUBARRY RD, INDIANAPOLIS IN 46226",722 N DENNY ST,", INDIANAPOLIS IN 46226",Violation_Zoning,Inspections
1/20/2021,INV21-01206,"3715 E NEW YORK ST, INDIANAPOLIS IN 46201",722 W 25TH ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01210,"3715 E VERMONT ST, INDIANAPOLIS IN 46201",7220 KENTUCKY AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
2/17/2021,VBO21-00261,"3715 KINNEAR AVE, INDIANAPOLIS IN 46218",7225 WINTON DR,", INDIANAPOLIS IN 46218",Enforcement - Vacant Board Order,Contractor Notified
2/17/2021,VBO21-00262,"3715 KINNEAR AVE, INDIANAPOLIS IN 46218",7229 WESTLAKE RD,", INDIANAPOLIS IN 46218",Enforcement - Vacant Board Order,Contractor Notified
1/22/2021,RNH21-00089,"3715 S STATE AVE, INDIANAPOLIS IN 46227",723 S CAPITOL AVE,", INDIANAPOLIS IN 46227",Enforcement - Repair w/no Hearing,In Violation
3/3/2021,INV21-03577,"3715 S STATE AVE, INDIANAPOLIS IN 46227",7230 N SHADELAND AVE,", INDIANAPOLIS IN 46227",Investigation - Trash,"Closed, Refer to DPW"
2/5/2021,INV21-02289,"3716 E MARKET ST, INDIANAPOLIS IN 46201",7231 LANTERN RD,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
2/23/2021,INV21-02921,"3716 OIL CREEK DR, INDIANAPOLIS IN 46268",7235 GRAYMONT DR,", INDIANAPOLIS IN 46268",Investigation-Zoning,"Closed, VIO"
2/23/2021,VEH21-000407,"3716 OIL CREEK DR, INDIANAPOLIS IN 46268",724 N DENNY ST,", INDIANAPOLIS IN 46268",Enforcement/Vehicle/Zoning/NA,Closed
2/23/2021,VIO21-001366,"3716 OIL CREEK DR, INDIANAPOLIS IN 46268",7242 MICHIGAN RD,", INDIANAPOLIS IN 46268",Violation_Zoning,VIO-Closed
1/20/2021,RNH21-00076,"3718 N CAPITOL AVE, INDIANAPOLIS IN 46208",7243 FARIS ST,", INDIANAPOLIS IN 46208",Enforcement - Repair w/no Hearing,In Violation
2/19/2021,VBO21-00269,"3718 N ILLINOIS ST, INDIANAPOLIS IN 46208",725 E PLEASANT RUN PKWY SDR,", INDIANAPOLIS IN 46208",Enforcement - Vacant Board Order,Contractor Notified
2/13/2021,INV21-02665,"3719 S WALCOTT ST, INDIANAPOLIS IN 46227",725 N DENNY ST,", INDIANAPOLIS IN 46227",Investigation-Zoning,Closed
2/26/2021,INV21-03255,"3719 S WALCOTT ST, INDIANAPOLIS IN 46227",725 WEGHORST ST,", INDIANAPOLIS IN 46227",Investigation-Zoning,"Closed, VIO"
2/26/2021,VEH21-000436,"3719 S WALCOTT ST, INDIANAPOLIS IN 46227",7254 TOTTENHAM DR,", INDIANAPOLIS IN 46227",Enforcement/Vehicle/Zoning/NA,Inspections
3/9/2021,INV21-03986,"3720 MAYFLOWER DR, INDIANAPOLIS IN 46221",726 N BERWICK AVE,", INDIANAPOLIS IN 46221",Investigation-Zoning,Case Initiated
2/11/2021,VEH21-000369,"3721 CENTRAL AVE, INDIANAPOLIS IN 46205",726 N GLADSTONE AVE,", INDIANAPOLIS IN 46205",Enforcement/Vehicle/Zoning/NA,Inspections
2/11/2021,VIO21-001232,"3721 CENTRAL AVE, INDIANAPOLIS IN 46205",7260 MICHIGAN RD,", INDIANAPOLIS IN 46205",Violation_Zoning,Inspections
2/26/2021,CIT21-000425,"3721 CENTRAL AVE, INDIANAPOLIS IN 46205",727 N EXETER AVE,", INDIANAPOLIS IN 46205",Enforcement/Citation/Vehicle/50,Open
2/26/2021,CIT21-000426,"3721 CENTRAL AVE, INDIANAPOLIS IN 46205",727 N SHERMAN DR,", INDIANAPOLIS IN 46205",Enforcement/Citation/Zoning/50,Open
3/5/2021,VIO21-001799,"3723 N CAPITOL AVE, INDIANAPOLIS IN 46208",728 E BEECHER ST,", INDIANAPOLIS IN 46208",Violation - Trash,Inspections
1/20/2021,INV21-01207,"3724 E MARKET ST, INDIANAPOLIS IN 46201",73 OLETA DR,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/21/2021,VIO21-000566,"3724 E MARKET ST, INDIANAPOLIS IN 46201",730 LEXINGTON AVE,", INDIANAPOLIS IN 46201",Violation - Trash,Closed
2/2/2021,INV21-02073,"3727 ERIN DR, INDIANAPOLIS IN 46235",7300 E TROY AVE,", INDIANAPOLIS IN 46235",Investigation-Zoning,Closed
3/4/2021,INV21-03667,"3727 SHEPPERTON BLVD, INDIANAPOLIS IN 46228",7301 MENDENHALL RD,", INDIANAPOLIS IN 46228",Investigation - Trash,Closed
2/25/2021,VIO21-001489,"3729 N CAPITOL AVE, INDIANAPOLIS IN 46208",7305 KICKAPOO TRAIL,", INDIANAPOLIS IN 46208",Violation - Trash,Closed
3/4/2021,INV21-03659,"3729 N CAPITOL AVE, INDIANAPOLIS IN 46208",731 E 33RD ST,", INDIANAPOLIS IN 46208",Investigation - Trash,Closed
1/22/2021,VBO21-00116,"373 N HOLMES AVE, INDIANAPOLIS IN 46222",731 SHEPARD ST,", INDIANAPOLIS IN 46222",Enforcement - Vacant Board Order,Closed
2/1/2021,VBO21-00158,"373 N HOLMES AVE, INDIANAPOLIS IN 46222",7314 CHIMNEY ROCK CT,", INDIANAPOLIS IN 46222",Enforcement - Vacant Board Order,Closed
3/8/2021,VIO21-001809,"3730 E MARKET ST, INDIANAPOLIS IN 46201",7318 POPPYSEED DR,", INDIANAPOLIS IN 46201",Violation-Building,Inspections
3/7/2021,INV21-03827,"3730 N RILEY AVE, INDIANAPOLIS IN 46218",7318 SNOWBIRD WAY,", INDIANAPOLIS IN 46218",Investigation - Trash,Case Initiated
1/20/2021,INV21-01211,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",732 S EMERSON AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/21/2021,VIO21-000577,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",7320 WOODEN GRANGE DR,", INDIANAPOLIS IN 46201",Violation - Trash,Closed
2/9/2021,INV21-02427,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",7321 E 21ST ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
2/9/2021,INV21-02450,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",7325 GLENWICK BLVD,", INDIANAPOLIS IN 46201",Investigation-Zoning,"Closed, VIO"
2/10/2021,VEH21-000345,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",7330 CRICKWOOD PL,", INDIANAPOLIS IN 46201",Enforcement/Vehicle/Zoning/NA,Inspections
3/1/2021,CIT21-000438,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",7336 PENDLETON PIKE,", INDIANAPOLIS IN 46201",Enforcement/Citation/Vehicle/50,Open
3/1/2021,VIO21-001570,"3733 E VERMONT ST, INDIANAPOLIS IN 46201",734 INGOMAR ST,", INDIANAPOLIS IN 46201",Violation_Zoning,Inspections
2/9/2021,INV21-02474,"3733 N CAPITOL AVE, INDIANAPOLIS IN 46208",738 KING AVE,", INDIANAPOLIS IN 46208",Investigation - Unsafe Buildings,Closed
3/3/2021,INV21-03615,"3733 N CAPITOL AVE, INDIANAPOLIS IN 46208",740 PARKWAY AVE,", INDIANAPOLIS IN 46208",Investigation - Unsafe Buildings,Closed
3/10/2021,INV21-04101,"3733 N CAPITOL AVE, INDIANAPOLIS IN 46208",7401 MERGANSER DR,", INDIANAPOLIS IN 46208",Investigation - Unsafe Buildings,Case Initiated
2/1/2021,INV21-01949,"3734 BALTIMORE AVE, INDIANAPOLIS IN 46218",7403 GOOSE CREEK CT,", INDIANAPOLIS IN 46218",Investigation - Trash,Closed
3/9/2021,INV21-04051,"3735 N KITLEY AVE, INDIANAPOLIS IN 46226",741 CARLYLE PL,", INDIANAPOLIS IN 46226",Investigation-Zoning,Closed
3/8/2021,INV21-03911,"3735 ORCHARD AVE, INDIANAPOLIS IN 46218",742 MARTIN ST,", INDIANAPOLIS IN 46218",Investigation - Trash,"Closed, Notice"
1/20/2021,VIO21-000537,"3736 N PENNSYLVANIA ST, INDIANAPOLIS IN 46205",7427 W MOORESVILLE RD,", INDIANAPOLIS IN 46205",Violation-Building,Inspections
1/20/2021,INV21-01205,"3739 E MARKET ST, INDIANAPOLIS IN 46201",7431 EVANSTON AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/21/2021,VIO21-000561,"3739 E MARKET ST, INDIANAPOLIS IN 46201",7435 S ARLINGTON AVE,", INDIANAPOLIS IN 46201",Violation - Trash,Closed
