355444,3/23/2020,Closed on Call,Code Enforcement,Graffiti/Defacement,"1002 N HARRISON AVE, CARY 275133905",,1002 N HARRISON AVE,1002,HARRISON
433530,9/16/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1003 CHALK MAPLE DR, CARY 275197413",,1003 CHALK MAPLE DR,1003,CHALK MAPLE
416328,8/10/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1003 LANGSTON POND DR, CARY 275182298",,1003 LANGSTON POND DR,1003,LANGSTON POND
371927,5/4/2020,Closed,Public Works,Code Enforcement Inquiry,"1004 POND ST, CARY 275113810",,1004 POND ST,1004,POND
381475,5/23/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 BEACON COVE DR, CARY 275114375",,101 BEACON COVE DR,101,BEACON COVE
510142,3/5/2021,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 BRANNIGAN PL, CARY 275115660",,101 BRANNIGAN PL,101,BRANNIGAN
513856,3/12/2021,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,"101 BRANNIGAN PL, CARY 275115660",,101 BRANNIGAN PL,101,BRANNIGAN
331718,1/29/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"101 BRIDGEWAY CT, CARY 275116361",,101 BRIDGEWAY CT,101,BRIDGEWAY
339669,2/14/2020,Completed,Code Enforcement,Material Not Prepared ? Code Enforcement,"101 BRIGHT ANGEL DR, CARY 275135309",,101 BRIGHT ANGEL DR,101,BRIGHT ANGEL
346295,2/29/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"101 BUCKNELL DR, APEX 27502",,101 BUCKNELL DR,101,BUCKNELL
395846,6/26/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"101 CENTER POINTE DR, CARY 275135706",SW CARY PKWY ? ROW,101 CENTER POINTE DR,101,CENTER POINTE
508807,3/2/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"101 CENTER POINTE DR, CARY 275135706",,101 CENTER POINTE DR,101,CENTER POINTE
463758,11/15/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 DANFORTH DR, CARY 275113184",,101 DANFORTH DR,101,DANFORTH
464424,11/16/2020,Duplicate,Public Works,Code Enforcement Inquiry,"101 DANFORTH DR, CARY 275113184",,101 DANFORTH DR,101,DANFORTH
355160,3/21/2020,Closed,Code Enforcement,Graffiti/Defacement,"101 E DYNASTY DR, CARY 275133355",,101 E DYNASTY DR,101,E DYNASTY
357855,3/30/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
367287,4/23/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
372320,5/5/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
395587,6/25/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
400837,7/8/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
419040,8/17/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
419426,8/17/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
434137,9/17/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",,101 ELMVIEW DR,101,ELMVIEW
386844,6/5/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 FERRIS WHEEL CT, CARY 275133618",,101 FERRIS WHEEL CT,101,FERRIS WHEEL
522869,3/30/2021,Closed,Public Works,Code Enforcement Inquiry,"101 GREENGATE CT, CARY 275113762",,101 GREENGATE CT,101,GREENGATE
389721,6/12/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 GREY HORSE DR, CARY 275133447",,101 GREY HORSE DR,101,GREY HORSE
405870,7/18/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"101 LAKE PINE DR, CARY 275114356",,101 LAKE PINE DR,101,LAKE PINE
402560,7/11/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 LEISURE CT, CARY 275114444",,101 LEISURE CT,101,LEISURE
414874,8/6/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"101 LONESOME PINE DR, CARY 275131732",,101 LONESOME PINE DR,101,LONESOME PINE
364106,4/14/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"101 MACLAURIN ST, CARY 275188405",,101 MACLAURIN ST,101,MACLAURIN
372109,5/4/2020,Closed,Public Works,Code Enforcement Inquiry,"101 MARIPOSA DR, CARY 275135331",,101 MARIPOSA DR,101,MARIPOSA
396301,6/28/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 MARIPOSA DR, CARY 275135331",,101 MARIPOSA DR,101,MARIPOSA
423115,8/24/2020,Closed,Public Works,Code Enforcement Inquiry,"101 PARK JAMES WAY, CARY 275186822",,101 PARK JAMES WAY,101,PARK JAMES
419021,8/17/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 PARKSPRING CT, CARY 275197534",,101 PARKSPRING CT,101,PARKSPRING
530189,4/12/2021,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 PECKSKILL CT, CARY 275198376",,101 PECKSKILL CT,101,PECKSKILL
