4/7/2020,COD2020-00656,Code Enforcement Case,Unfounded,4432 Cordova Pl
4/7/2020,COD2020-00655,Code Enforcement Case,Abated,5402 Borgia Rd
4/7/2020,COD2020-00653,Code Enforcement Case,Abated,791 Saltillo Pl
4/7/2020,COD2020-00654,Code Enforcement Case,Unfounded,972 Sundance Dr
4/1/2020,COD2020-00652,Code Enforcement Case,Unfounded,34601 Hurst Ave
3/31/2020,COD2020-00651,Code Enforcement Case,Unfounded,37019 Blacow Rd
3/31/2020,COD2020-00650,Code Enforcement Case,Unfounded,962 Sundance Dr
3/31/2020,COD2020-00649,Code Enforcement Case,Unfounded,3801 Peralta Blvd
3/30/2020,COD2020-00639,Code Enforcement Case,Abated,4543 Alhambra Dr
3/30/2020,COD2020-00640,Code Enforcement Case,Unfounded,41191 Fremont Blvd
3/30/2020,COD2020-00641,Code Enforcement Case,Abated,41191 Fremont Blvd
3/30/2020,COD2020-00642,Code Enforcement Case,Enforcement,4926 Hyde Park Dr
3/30/2020,COD2020-00643,Code Enforcement Case,Unfounded,4934 Hyde Park Dr
3/30/2020,COD2020-00644,Code Enforcement Case,Unfounded,4546 Peralta Blvd
3/30/2020,COD2020-00645,Code Enforcement Case,Unfounded,3331 Baylis St
3/30/2020,COD2020-00646,Code Enforcement Case,Unfounded,4667 Portola Dr
3/30/2020,COD2020-00647,Code Enforcement Case,Abated,136 Linmore Dr
3/30/2020,COD2020-00648,Code Enforcement Case,Abated,4179 Nicolet Ave
3/27/2020,COD2020-00634,Code Enforcement Case,Abated,148 King Ave
3/27/2020,COD2020-00635,Code Enforcement Case,Unfounded,421 Crystalline Dr
3/27/2020,COD2020-00636,Code Enforcement Case,Abated,1933 Utah Way
3/27/2020,COD2020-00637,Code Enforcement Case,Abated,35632 Runckel Ln
3/27/2020,COD2020-00638,Code Enforcement Case,Unfounded,45024 Cougar Cir
3/24/2020,COD2020-00633,Code Enforcement Case,Abated,41200 Blacow Rd
3/23/2020,COD2020-00632,Code Enforcement Case,Referred,4886 Los Arboles Pl
3/13/2020,COD2020-00631,Code Enforcement Case,Unfounded,2942 Cheswycke Ter # 260
3/12/2020,COD2020-00627,Code Enforcement Case,Unfounded,41247 Roberts Ave
3/12/2020,COD2020-00628,Code Enforcement Case,Unfounded,41212 Fremont Blvd
3/12/2020,COD2020-00629,Code Enforcement Case,Referred,43528 Fremont Blvd
